place,bu,status,hydrostaticTest,location,email,type,kind,area,registerDate,id,country,site
Chloride Bypass ชั้น 4 K6,th,Active,2021,-,Kiln(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Kiln),2016,PLANT3-KK3-D1-1-48No.1,thailand,plant3
Chloride Bypass ชั้น 5 K6,th,Active,2021,-,Kiln(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Kiln),2016,PLANT3-KK3-D1-1-49No.1,thailand,plant3
Chloride Bypass ชั้น 6 K6,th,Active,2021,-,Kiln(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Kiln),2016,PLANT3-KK3-D1-1-50No.1,thailand,plant3
Chloride Bypass ชั้น 7 K6,th,Active,2021,-,Kiln(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Kiln),2016,PLANT3-KK3-D1-1-51No.1,thailand,plant3
Chloride Bypass ชั้น 8 K6,th,Active,2021,-,Kiln(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Kiln),2016,PLANT3-KK3-D1-1-52No.1,thailand,plant3
Plant Diesel จุดที่ 1,th,Active,2024,-,Kiln(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Kiln),2019,PLANT3-KK3-D1-2-53No.1,thailand,plant3
Plant Diesel จุดที่ 1,th,Active,2024,-,Kiln(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Kiln),2019,PLANT3-KK3-D1-2-53No.2,thailand,plant3
Plant Diesel จุดที่ 2,th,Active,2021,-,Kiln(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Kiln),2016,PLANT3-KK3-D1-2-54No.1,thailand,plant3
Plant Diesel จุดที่ 2,th,Active,2021,-,Kiln(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Kiln),2016,PLANT3-KK3-D1-2-54No.2,thailand,plant3
Plant Diesel จุดที่ 3,th,Active,2021,-,Kiln(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Kiln),2016,PLANT3-KK3-D1-2-55No.1,thailand,plant3
Plant Diesel จุดที่ 3,th,Active,2021,-,Kiln(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Kiln),2016,PLANT3-KK3-D1-2-55No.2,thailand,plant3
P/H K5 ชั้น 2 Biomass จุดที่ 1 (ข้าง Cyclone W1B56),th,Active,2028,-,Kiln(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Kiln),2023,PLANT3-KK3-D1-2-56No.1,thailand,plant3
P/H K5 ชั้น 2 Biomass จุดที่ 1 (ข้าง Cyclone W1B56),th,Active,2028,-,Kiln(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Kiln),2023,PLANT3-KK3-D1-2-56No.2,thailand,plant3
"P/H K5 ชั้น 2 Biomass จุดที่ 2 (ข้างบันไดถัง Bin W1A02, W1A03)",th,Active,2028,-,Kiln(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Kiln),2023,PLANT3-KK3-D1-2-57No.1,thailand,plant3
"P/H K5 ชั้น 2 Biomass จุดที่ 2 (ข้างบันไดถัง Bin W1A02, W1A03)",th,Active,2028,-,Kiln(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Kiln),2023,PLANT3-KK3-D1-2-57No.2,thailand,plant3
P/H K5 ชั้น 2 Biomass จุดที่ 3 (ข้าง B/F J1P41),th,Active,2028,-,Kiln(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Kiln),2023,PLANT3-KK3-D1-2-58No.1,thailand,plant3
P/H K5 ชั้น 2 Biomass จุดที่ 3 (ข้าง B/F J1P41),th,Active,2028,-,Kiln(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Kiln),2023,PLANT3-KK3-D1-2-58No.2,thailand,plant3
ลาน Biomass จุดที่ 1 (หน้าทางเข้าลาน Biomass),th,Active,2028,-,Kiln(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Kiln),2023,PLANT3-KK3-D1-2-59No.1,thailand,plant3
ลาน Biomass จุดที่ 1 (หน้าทางเข้าลาน Biomass),th,Active,2028,-,Kiln(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Kiln),2023,PLANT3-KK3-D1-2-59No.2,thailand,plant3
ลาน Biomass จุดที่ 2 (โรง Feed biomass 1),th,Active,2028,-,Kiln(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Kiln),2023,PLANT3-KK3-D1-2-60No.1,thailand,plant3
ลาน Biomass จุดที่ 2 (โรง Feed biomass 1),th,Active,2028,-,Kiln(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Kiln),2023,PLANT3-KK3-D1-2-60No.2,thailand,plant3
ลาน Biomass จุดที่ 3 (โรง Feed biomass 2),th,Active,2028,-,Kiln(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Kiln),2023,PLANT3-KK3-D1-2-61No.1,thailand,plant3
ลาน Biomass จุดที่ 3 (โรง Feed biomass 2),th,Active,2028,-,Kiln(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Kiln),2023,PLANT3-KK3-D1-2-61No.2,thailand,plant3
"ลาน Biomass จุดที่ 4 (ข้างสายพาน Biomass W1J31, W1J32)",th,Active,2028,-,Kiln(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Kiln),2023,PLANT3-KK3-D1-2-62No.1,thailand,plant3
"ลาน Biomass จุดที่ 4 (ข้างสายพาน Biomass W1J31, W1J32)",th,Active,2028,-,Kiln(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Kiln),2023,PLANT3-KK3-D1-2-62No.2,thailand,plant3
กลาง Plant K5 ชั้น 1,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D2-3-001No.1,thailand,plant3
กลาง Plant K5 ชั้น 1,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D2-3-001No.2,thailand,plant3
กลาง Plant K5 ชั้น 1,th,Active,1995,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1990,PLANT3-CL3-D2-3-001No.3,thailand,plant3
Pfister K5 ชั้น 1,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D2-3-002No.1,thailand,plant3
Pfister K5 ชั้น 1,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D2-3-002No.2,thailand,plant3
Pfister K5 ชั้น 1,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D2-3-002No.3,thailand,plant3
ชั้น 1 ด้าน K1T36,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D2-3-003No.1,thailand,plant3
ชั้น 1 ด้าน K1T36,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D2-3-003No.2,thailand,plant3
ชั้น 1 ด้าน K1T36,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D2-3-003No.3,thailand,plant3
K5 ชั้นลอยระหว่าง Silo B-C,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D2-3-004No.1,thailand,plant3
K5 ชั้นลอยระหว่าง Silo B-C,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D2-3-004No.2,thailand,plant3
K5 ชั้นลอยระหว่าง Silo B-C,th,Active,1996,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1991,PLANT3-CL3-D2-3-004No.3,thailand,plant3
K5 ชั้น 2,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D2-3-005No.1,thailand,plant3
K5 ชั้น 2,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D2-3-005No.2,thailand,plant3
K5 ชั้น 2,th,Active,2001,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1996,PLANT3-CL3-D2-3-005No.3,thailand,plant3
กลาง Plant K6 ชั้น 1,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D2-3-006No.1,thailand,plant3
กลาง Plant K6 ชั้น 1,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D2-3-006No.2,thailand,plant3
กลาง Plant K6 ชั้น 1,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D2-3-006No.3,thailand,plant3
Pfister K6 ชั้น 1,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D2-3-007No.1,thailand,plant3
Pfister K6 ชั้น 1,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D2-3-007No.2,thailand,plant3
Pfister K6 ชั้น 1,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D2-3-007No.3,thailand,plant3
ชั้น 1 K6 ด้าน K1T36,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D2-3-008No.1,thailand,plant3
ชั้น 1 K6 ด้าน K1T36,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D2-3-008No.2,thailand,plant3
ชั้น 1 K6 ด้าน K1T36,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D2-3-008No.3,thailand,plant3
K6 ชั้นลอยระหว่าง Silo B-C,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D2-3-009No.1,thailand,plant3
K6 ชั้นลอยระหว่าง Silo B-C,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D2-3-009No.2,thailand,plant3
K6 ชั้นลอยระหว่าง Silo B-C,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D2-3-009No.3,thailand,plant3
K6 ชั้น 2,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D2-3-010No.1,thailand,plant3
K6 ชั้น 2,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D2-3-010No.2,thailand,plant3
K6 ชั้น 2,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D2-3-010No.3,thailand,plant3
Unload K5,th,Active,2005,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),2000,PLANT3-CL3-D2-2-011No.1,thailand,plant3
Unload K5,th,Active,2003,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1998,PLANT3-CL3-D2-2-011No.2,thailand,plant3
Unload K6,th,Active,2008,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),2003,PLANT3-CL3-D2-2-012No.1,thailand,plant3
Unload K6,th,Active,2008,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),2003,PLANT3-CL3-D2-2-012No.2,thailand,plant3
Unload K5 ด้านอุโมงค์,th,Active,2028,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),2023,PLANT3-CL3-D2-1-013No.1,thailand,plant3
Unload K6 ด้านอุโมงค์,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D2-1-014No.1,thailand,plant3
Crusher K5 ชั้น 1,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D2-3-015No.1,thailand,plant3
Crusher K5 ชั้น 1,th,Active,2009,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),2004,PLANT3-CL3-D2-3-015No.2,thailand,plant3
Crusher K5 ชั้น 1,th,Active,2009,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),2004,PLANT3-CL3-D2-3-015No.3,thailand,plant3
Crusher K6 ชั้น 1,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D2-3-016No.1,thailand,plant3
Crusher K6 ชั้น 1,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D2-3-016No.2,thailand,plant3
Crusher K6 ชั้น 1,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D2-3-016No.3,thailand,plant3
ห้อง Comp K5,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D1-3-017No.1,thailand,plant3
ห้อง Comp K5,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D1-3-017No.2,thailand,plant3
ห้อง Comp K5,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D1-3-017No.3,thailand,plant3
ห้อง Comp K6,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D1-3-018No.1,thailand,plant3
ห้อง Comp K6,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D1-3-018No.2,thailand,plant3
ห้อง Comp K6,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D1-3-018No.3,thailand,plant3
ข้างห้องคุม Coal Unload,th,Active,2014,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),2009,PLANT3-CL3-D2-3-019No.1,thailand,plant3
ข้างห้องคุม Coal Unload,th,Active,2014,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),2009,PLANT3-CL3-D2-3-019No.2,thailand,plant3
ข้างห้องคุม Coal Unload,th,Active,2020,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),2015,PLANT3-CL3-D2-3-019No.3,thailand,plant3
K6 ชั้น 2 ระหว่างถัง Bin K3L01-K4L01,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D1-3-023No.1,thailand,plant3
K6 ชั้น 2 ระหว่างถัง Bin K3L01-K4L01,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D1-3-023No.2,thailand,plant3
K6 ชั้น 2 ระหว่างถัง Bin K3L01-K4L01,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D1-3-023No.3,thailand,plant3
K5 ชั้น 2 ระหว่างถัง Bin K1L01-K2L01,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D1-3-024No.1,thailand,plant3
K5 ชั้น 2 ระหว่างถัง Bin K1L01-K2L01,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D1-3-024No.2,thailand,plant3
K5 ชั้น 2 ระหว่างถัง Bin K1L01-K2L01,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D1-3-024No.3,thailand,plant3
Coal fine feed 3 K5 ชั้น 1; Silo D,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D1-2-025No.1,thailand,plant3
Coal fine feed 3 K5 ชั้น 1; Silo D,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D1-2-025No.2,thailand,plant3
Coal fine feed 3 K5 ชั้น 2; Silo D,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D1-2-026No.2,thailand,plant3
Coal fine feed 3 K5 ชั้น 3; Silo D,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D1-2-027No.1,thailand,plant3
Coal fine feed 3 K6 ชั้น 3; Silo D,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D1-2-028No.1,thailand,plant3
Coal fine feed 3 K6 ชั้น 3; Silo D,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D1-2-028No.2,thailand,plant3
Coal fine feed 3 K6 ชั้น 3; Silo D,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D1-2-029No.2,thailand,plant3
Coal fine feed 3 K6 ชั้น 3; Silo D,th,Active,1999,-,Coal Mill(N),extinguisher,Dry Chemical,ผลิตปูนเม็ด (Coal Mill),1994,PLANT3-CL3-D1-2-030No.1,thailand,plant3
(อาคาร TG) (ชั้น 3 ในห้อง Patrol LCR),th,Active,-,-,WHR3,extinguisher,CO2,ผลิตกระแสไฟฟ้า,ไม่พบข้อมูล,PLANT3-10-PK-C-005601,thailand,plant3
(อาคาร TG) (ชั้น 3 ในห้อง Patrol LCR),th,Active,-,-,WHR3,extinguisher,CO2,ผลิตกระแสไฟฟ้า,ไม่พบข้อมูล,PLANT3-10-PK-C-005662,thailand,plant3
(อาคาร TG) (ชั้น 3 ในห้อง Patrol LCR),th,Active,-,-,WHR3,extinguisher,CO2,ผลิตกระแสไฟฟ้า,ไม่พบข้อมูล,PLANT3-10-PK-C-005593,thailand,plant3
(อาคาร TG) (ชั้น 3 ในห้อง Patrol LCR),th,Active,-,-,WHR3,extinguisher,CO2,ผลิตกระแสไฟฟ้า,ไม่พบข้อมูล,PLANT3-10-PK-C-005598,thailand,plant3
(อาคาร TG) (ชั้น 3 ในห้อง Patrol LCR),th,Active,-,-,WHR3,extinguisher,CO2,ผลิตกระแสไฟฟ้า,ไม่พบข้อมูล,PLANT3-10-PK-C-005604,thailand,plant3
(อาคาร TG) (ชั้น 3 ในห้อง Patrol LCR),th,Active,-,-,WHR3,extinguisher,CO2,ผลิตกระแสไฟฟ้า,ไม่พบข้อมูล,PLANT3-10-PK-C-005631,thailand,plant3
(อาคาร TG) (ชั้น 3 ในห้อง Patrol LCR),th,Active,-,-,WHR3,extinguisher,CO2,ผลิตกระแสไฟฟ้า,ไม่พบข้อมูล,PLANT3-10-PK-C-005637,thailand,plant3
(อาคาร TG) (ชั้น 3 ในห้อง Patrol LCR),th,Active,-,-,WHR3,extinguisher,CO2,ผลิตกระแสไฟฟ้า,ไม่พบข้อมูล,PLANT3-10-PK-C-005627,thailand,plant3
(อาคาร TG) (ชั้น 3 ในห้อง Patrol LCR),th,Active,-,-,WHR3,extinguisher,CO2,ผลิตกระแสไฟฟ้า,ไม่พบข้อมูล,PLANT3-10-PK-C-005596,thailand,plant3
(อาคาร TG) (ชั้น 3 ในห้อง Patrol LCR),th,Active,-,-,WHR3,extinguisher,CO2,ผลิตกระแสไฟฟ้า,ไม่พบข้อมูล,PLANT3-10-PK-C-005603,thailand,plant3
(อาคาร TG) (ชั้น 3 ในห้อง Patrol LCR),th,Active,-,-,WHR3,extinguisher,CO2,ผลิตกระแสไฟฟ้า,ไม่พบข้อมูล,PLANT3-10-PK-C-005600,thailand,plant3
(อาคาร TG) (ชั้น 3 ในห้อง Patrol LCR),th,Active,-,-,WHR3,extinguisher,CO2,ผลิตกระแสไฟฟ้า,ไม่พบข้อมูล,PLANT3-10-PK-C-005659,thailand,plant3
(อาคาร TG) (ชั้น 3 ในห้อง Patrol LCR),th,Active,-,-,WHR3,extinguisher,CO2,ผลิตกระแสไฟฟ้า,ไม่พบข้อมูล,PLANT3-10-PK-C-005591,thailand,plant3
(อาคาร TG) (ชั้น 3 ในห้อง Patrol LCR),th,Active,-,-,WHR3,extinguisher,CO2,ผลิตกระแสไฟฟ้า,ไม่พบข้อมูล,PLANT3-10-PK-C-005661,thailand,plant3
(อาคาร TG) (ชั้น 3 ในห้อง Patrol LCR),th,Active,-,-,WHR3,extinguisher,CO2,ผลิตกระแสไฟฟ้า,ไม่พบข้อมูล,PLANT3-10-PK-C-005594,thailand,plant3
(อาคาร TG) (ชั้น 3 ในห้อง Patrol LCR),th,Active,-,-,WHR3,extinguisher,CO2,ผลิตกระแสไฟฟ้า,ไม่พบข้อมูล,PLANT3-10-PK-C-005639,thailand,plant3
(อาคาร TG) (ชั้น 3 ในห้อง Patrol LCR),th,Active,-,-,WHR3,extinguisher,CO2,ผลิตกระแสไฟฟ้า,ไม่พบข้อมูล,PLANT3-10-PK-C-005628,thailand,plant3
(อาคาร TG) (ชั้น 3 ในห้อง Patrol LCR),th,Active,-,-,WHR3,extinguisher,CO2,ผลิตกระแสไฟฟ้า,ไม่พบข้อมูล,PLANT3-10-PK-C-005638,thailand,plant3
(อาคาร TG) (ชั้น 2 ในห้อง Sub),th,Active,-,-,WHR3,extinguisher,CO2,ผลิตกระแสไฟฟ้า,ไม่พบข้อมูล,PLANT3-10-PK-C-005636,thailand,plant3
(อาคาร TG) (ชั้น 2 ในห้อง Sub),th,Active,-,-,WHR3,extinguisher,CO2,ผลิตกระแสไฟฟ้า,ไม่พบข้อมูล,PLANT3-10-PK-C-005632,thailand,plant3
(อาคาร TG) (ชั้น 2 ในห้อง Sub),th,Active,-,-,WHR3,extinguisher,CO2,ผลิตกระแสไฟฟ้า,ไม่พบข้อมูล,PLANT3-10-PK-C-005634,thailand,plant3
(อาคาร TG) (ชั้น 2 ในห้อง Sub),th,Active,-,-,WHR3,extinguisher,CO2,ผลิตกระแสไฟฟ้า,ไม่พบข้อมูล,PLANT3-10-PK-C-005633,thailand,plant3
(อาคาร TG) (ชั้น 2 ในห้อง Sub),th,Active,-,-,WHR3,extinguisher,CO2,ผลิตกระแสไฟฟ้า,ไม่พบข้อมูล,PLANT3-10-PK-C-005650,thailand,plant3
(อาคาร TG) (ชั้น 2 ในห้อง Sub),th,Active,-,-,WHR3,extinguisher,CO2,ผลิตกระแสไฟฟ้า,ไม่พบข้อมูล,PLANT3-10-PK-C-005635,thailand,plant3
(อาคาร TG) (ชั้น 2 ในห้อง Sub),th,Active,-,-,WHR3,extinguisher,CO2,ผลิตกระแสไฟฟ้า,ไม่พบข้อมูล,PLANT3-10-PK-C-005630,thailand,plant3
(อาคาร TG) (ชั้น 2 ในห้อง Sub),th,Active,-,-,WHR3,extinguisher,CO2,ผลิตกระแสไฟฟ้า,ไม่พบข้อมูล,PLANT3-10-PK-C-005626,thailand,plant3
(อาคาร TG) (ชั้น 2 ในห้อง Sub),th,Active,-,-,WHR3,extinguisher,CO2,ผลิตกระแสไฟฟ้า,ไม่พบข้อมูล,PLANT3-10-PK-C-005590,thailand,plant3
(อาคาร TG) (ชั้น 2 ในห้อง Sub),th,Active,-,-,WHR3,extinguisher,CO2,ผลิตกระแสไฟฟ้า,ไม่พบข้อมูล,PLANT3-10-PK-C-005655,thailand,plant3
(อาคาร TG) (ชั้น 2 ในห้อง Sub),th,Active,-,-,WHR3,extinguisher,CO2,ผลิตกระแสไฟฟ้า,ไม่พบข้อมูล,PLANT3-10-PK-C-005656,thailand,plant3
(อาคาร TG) (ชั้น 2 นอกห้อง Sub),th,Active,-,-,WHR3,extinguisher,CO2,ผลิตกระแสไฟฟ้า,ไม่พบข้อมูล,PLANT3-10-PK-C-005652,thailand,plant3
(อาคาร TG) (ชั้น 2 นอกห้อง Sub),th,Active,-,-,WHR3,extinguisher,CO2,ผลิตกระแสไฟฟ้า,ไม่พบข้อมูล,PLANT3-10-PK-C-005660,thailand,plant3
(อาคาร TG) (ชั้น 2 นอกห้อง Sub),th,Active,-,-,WHR3,extinguisher,CO2,ผลิตกระแสไฟฟ้า,ไม่พบข้อมูล,PLANT3-10-PK-C-005653,thailand,plant3
(อาคาร TG) (ชั้น 2 นอกห้อง Sub),th,Active,-,-,WHR3,extinguisher,CO2,ผลิตกระแสไฟฟ้า,ไม่พบข้อมูล,PLANT3-10-PK-C-005553,thailand,plant3
(อาคาร TG) (ชั้น 2 นอกห้อง Sub),th,Active,-,-,WHR3,extinguisher,CO2,ผลิตกระแสไฟฟ้า,ไม่พบข้อมูล,PLANT3-10-PK-C-005658,thailand,plant3
ข้าง Motor Z3M01,th,Active,2018,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,2013,PLANT3-CM3-D1-3-01No.1,thailand,plant3
ข้าง Motor Z3M01,th,Active,2024,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,2019,PLANT3-CM3-D1-3-01No.2,thailand,plant3
ข้าง Motor Z3M01,th,Active,n-a,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,ถังหาย,PLANT3-CM3-D1-3-01No.3,thailand,plant3
ชั้น P/C Z5M32,th,Active,2022,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,2017,PLANT3-CM3-D1-3-02No.1,thailand,plant3
ชั้น P/C Z5M32,th,Active,2022,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,2017,PLANT3-CM3-D1-3-02No.2,thailand,plant3
ชั้น P/C Z5M32,th,Active,2009,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,2004,PLANT3-CM3-D1-3-02No.3,thailand,plant3
ชั้น R/P Z1M32,th,Active,2004,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,1999,PLANT3-CM3-D1-3-03No.1,thailand,plant3
ชั้น R/P Z1M32,th,Active,2009,-,Cement(N),extinguisher,Dry Chemical,ผลิตปูนซีเมนต์,2004,PLANT3-CM3-D1-3-03No.2,thailand,plant3
