site,type,country,bu,id,kind,name,sitename,place,location,owner,plantname
log,extinguisher,thailand,th,LOG-EE-016,Non CFC,,,Sup Bagmaking k 6,Packing 3ชั้น,Packing,
log,extinguisher,thailand,th,LOG-DFR-ME3-001,Dry chemical,,,WORKSHOP Packing 3,Packing 3ชั้น,Packing,
log,extinguisher,thailand,th,LOG-DRF-BMP-010,Dry chemical,,,ชั้น 1 ด้านหน้าทางเข้าห้องเก็บถุงชั้นล่าง K6,Packaging K6ชั้น 1,Packaging,
log,extinguisher,thailand,th,LOG-DRF-BMP-018,Dry chemical,,,ชั้น 1 เสาด้านในอาคารเก็บม้วนกระดาษ ตรงข้ามที่เก็บถังสี,Packaging K5ชั้น 4,Packaging,
log,extinguisher,thailand,th,LOG-FHC-PP3-006,Fire Pump,,,ชั้น4Magazine 3 K5,Packaging K5,Packing,
log,extinguisher,thailand,th,LOG-FHC-PP3-012,Fire Pump,,,ชั้น4Magazine20 K6,Packaging K6,Packing,
log,extinguisher,thailand,th,LOG-FE-SRB-01,CO2,,,PDD-SRB/หน้าอาคาร,อาคารวิจัยและพัฒนา,PDD,
log,extinguisher,thailand,th,LOG-FE.TC.1.04-2,CO2,,,ห้องทดสอบ,"ITSC, Metro",CTC,
log,extinguisher,thailand,th,LOG-FE.TC.1.08,CO2,,,ข้างบ่อบ่มลูกปูนแทงค์น้ำ,"ITSC, Metro",CTC,
log,extinguisher,thailand,th,LOG-FE.TC.1.09,CO2,,,พื้นที่ทดสอบฝ่ายPDD,"ITSC, PDD-ITSC",PDD,
log,extinguisher,thailand,th,LOG-FE.TC.2.04,CO2,,,ห้องประชุมปทุม 2,"ITSC, Metro",CTC,
log,extinguisher,thailand,th,LOG-KDC-FE-002,Dry chemical,,,ในออฟฟิศ,คลังสินค้าขอนแก่น ชั้น 1,คลังสินค้าขอนแก่น,
log,extinguisher,thailand,th,LOG-UDC-FE-002,Dry chemical,,,ออฟฟิศ ชั้นล่าง,คลังสินค้าอุดรธานี ชั้น 1,คลังสินค้าอุดรธานี,
log,extinguisher,thailand,th,LOG-UDC-FE-003,Dry chemical,,,คลังสินค้าประตูหน้า,คลังสินค้าอุดรธานี ชั้น 1,คลังสินค้าอุดรธานี,
log,extinguisher,thailand,th,LOG-UDC-FE-004,Dry chemical,,,คลังสินค้าประตูหน้า,คลังสินค้าอุดรธานี ชั้น 1,คลังสินค้าอุดรธานี,
log,extinguisher,thailand,th,LOG-OL-SRT-FE-010,Dry chemical,,,ทางเดินชั้น 3,office ชั้น 3,ศูนย์กระจายสินค้าสุราษฎร์ธานี,
log,extinguisher,thailand,th,LOG-OL-SRT-FE-015,Dry chemical,,,ทางเดินชั้น 4,office ชั้น 4,ศูนย์กระจายสินค้าสุราษฎร์ธานี,
log,extinguisher,thailand,th,LOG-OL-SRT-FE-016,BF2000,,,,MDB&MCC 2,ศูนย์กระจายสินค้าสุราษฎร์ธานี,
log,extinguisher,thailand,th,LOG-OL-SRT-FE-024,Dry chemical,,,,MDB&MCC1,ศูนย์กระจายสินค้าสุราษฎร์ธานี,
log,extinguisher,thailand,th,LOG-OL-SRT-FE-025,Dry chemical,,,,ท่าเทียบเรือ,ศูนย์กระจายสินค้าสุราษฎร์ธานี,
