site,type,country,bu,id,kind,owner,place,location
sccc,extinguisher,thailand,th,SCCC-ClubHouse(ID-1-032),ผงเคมีแห้ง,P&OP,สระว่ายน้ำ,"บ้านพัก1, ClubHouse"
sccc,extinguisher,thailand,th,SCCC-B3(ID-1-043),ผงเคมีแห้ง,P&OP,บ้าน B3,"บ้านพัก1, B3"
sccc,extinguisher,thailand,th,SCCC-D6(ID-1-048),ผงเคมีแห้ง,P&OP,บ้าน D6,"บ้านพัก1, D6"
sccc,extinguisher,thailand,th,SCCC-จอดรถ(ID-1-057),ผงเคมีแห้ง,P&OP,"โรงจอดรถI1,I2","บ้านพัก1, จอดรถ"
sccc,extinguisher,thailand,th,SCCC-HR-J2-202,ผงเคมีแห้ง,P&OP,Flat J2 ชั้น 2,"บ้านพัก2, HR"
sccc,extinguisher,thailand,th,SCCC-HR-J3-201,ผงเคมีแห้ง,P&OP,Flat J3 ชั้น 2,"บ้านพัก2, HR"
sccc,extinguisher,thailand,th,SCCC-HR-J3-301,ผงเคมีแห้ง,P&OP,Flat J3 ชั้น3,"บ้านพัก2, HR"
sccc,extinguisher,thailand,th,SCCC-HR-J3-402,ผงเคมีแห้ง,P&OP,Flat J3 ชั้น 4,"บ้านพัก2, HR"
sccc,extinguisher,thailand,th,SCCC-HR-J4-102,ผงเคมีแห้ง,P&OP,Flat J4ชั้น1,"บ้านพัก2, HR"
sccc,extinguisher,thailand,th,SCCC-HR-J5-101,ผงเคมีแห้ง,P&OP,Flat J5ชั้น 1,"บ้านพัก2, HR"
sccc,extinguisher,thailand,th,SCCC-HR-J6-101,ผงเคมีแห้ง,P&OP,Flat J6ชั้น 1,"บ้านพัก2, HR"
sccc,extinguisher,thailand,th,SCCC-HR-J6-301,ผงเคมีแห้ง,P&OP,Flat J6ชั้น 3,"บ้านพัก2, HR"
sccc,extinguisher,thailand,th,SCCC-HR-J6-302,ผงเคมีแห้ง,P&OP,Flat J6ชั้น 3,"บ้านพัก2, HR"
sccc,extinguisher,thailand,th,SCCC-HR-G3-102,ผงเคมีแห้ง,P&OP,บ้าน G,"บ้านพัก2, HR"
sccc,extinguisher,thailand,th,SCCC-BKK-10,CO2,Column tower,บริเวณแผนก Group Strategy,Column tower ชั้น 10
sccc,extinguisher,thailand,th,SCCC-BKK-12,CO2,Column tower,แผนก F&C,Column tower ชั้น 10
sccc,extinguisher,thailand,th,SCCC-BKK-21,CO2,Column tower,"Group Internal Audit and Compliance, Company secretary",Column tower ชั้น 12
sccc,extinguisher,thailand,th,SCCC-BKK-22,CO2,Column tower,ด้านข้างห้องประชุมดอยอินทนนท์,Column tower ชั้น 12
sccc,extinguisher,thailand,th,SCCC-HR-CN-102,"Co2, 15.6kg.",P&OP,สถานพยาบาล,"ส่วนกลาง, HR"
sccc,extinguisher,thailand,th,SCCC-I1(ID-1-002),ผงเคมีแห้ง,P&OP,Flat I1,"บ้านพัก1, I1"
sccc,extinguisher,thailand,th,SCCC-B1(ID-1-041),ผงเคมีแห้ง,P&OP,บ้าน B1,"บ้านพัก1, B1"
sccc,extinguisher,thailand,th,SCCC-D4(ID-1-047),ผงเคมีแห้ง,P&OP,บ้าน D4,"บ้านพัก1, D4"
sccc,extinguisher,thailand,th,SCCC-ป้อมยาม(ID-1-050),ผงเคมีแห้ง,P&OP,ป้อมยามบ้านพัก 1,"บ้านพัก1, ป้อมยาม"
sccc,extinguisher,thailand,th,SCCC-จอดรถ(ID-1-058),ผงเคมีแห้ง,P&OP,"โรงจอดรถI1,I2","บ้านพัก1, จอดรถ"
sccc,extinguisher,thailand,th,SCCC-I3(ID-1-022)CO2,"Co2, 15.6kg.",P&OP,Flat I3,"บ้านพัก1, I3"
sccc,extinguisher,thailand,th,SCCC-HR-J2-301,ผงเคมีแห้ง,P&OP,Flat J2 ชั้น 3,"บ้านพัก2, HR"
sccc,extinguisher,thailand,th,SCCC-HR-J3-401,ผงเคมีแห้ง,P&OP,Flat J3 ชั้น 4,"บ้านพัก2, HR"
sccc,extinguisher,thailand,th,SCCC-HR-J4-202,ผงเคมีแห้ง,P&OP,Flat J4ชั้น 2,"บ้านพัก2, HR"
sccc,extinguisher,thailand,th,SCCC-HR-J4-301,ผงเคมีแห้ง,P&OP,Flat J4ชั้น 3,"บ้านพัก2, HR"
sccc,extinguisher,thailand,th,SCCC-HR-J7-202,ผงเคมีแห้ง,P&OP,Flat J7ชั้น2,"บ้านพัก2, HR"
sccc,extinguisher,thailand,th,SCCC-HR-J7-302,ผงเคมีแห้ง,P&OP,Flat J7ชั้น 3,"บ้านพัก2, HR"
sccc,extinguisher,thailand,th,SCCC-HR-G1-101,ผงเคมีแห้ง,P&OP,บ้าน G,"บ้านพัก2, HR"
sccc,extinguisher,thailand,th,SCCC-HR-G1-102,ผงเคมีแห้ง,P&OP,บ้าน G,"บ้านพัก2, HR"
sccc,extinguisher,thailand,th,SCCC-HR-G5-101,ผงเคมีแห้ง,P&OP,บ้าน G,"บ้านพัก2, HR"
sccc,extinguisher,thailand,th,SCCC-HR-CT-201,ผงเคมีแห้ง,P&OP,สโมสร,"บ้านพัก2, HR"
sccc,extinguisher,thailand,th,SCCC-HR-SP-202,"CO2, 15.9kg.",P&OP,สระว่ายน้ำ,"บ้านพัก2, HR"
sccc,extinguisher,thailand,th,SCCC-BKK-02,น้ำยาเหลวระเหย,Column tower,ห้องถ่ายเอกสาร,Column tower ชั้น 3
sccc,extinguisher,thailand,th,SCCC-BKK-15,CO2,Column tower,LBM,Column tower ชั้น 10
sccc,extinguisher,thailand,th,SCCC-BKK-23,CO2,Column tower,แผนก Board of Director,Column tower ชั้น 12
sccc,extinguisher,thailand,th,SCCC-PUC-03,CO2 (11Kg.),Procurement,Procurement,อาคารฝ่ายจัดซื้อ
sccc,extinguisher,thailand,th,SCCC-HR-OF-102,ผงเคมีแห้ง,P&OP,สำนักงาน P&OP,"ส่วนกลาง, HR"
sccc,extinguisher,thailand,th,SCCC-I1(ID-1-010),ผงเคมีแห้ง,P&OP,Flat I1,"บ้านพัก1, I1"
sccc,extinguisher,thailand,th,SCCC-I2(ID-1-016),ผงเคมีแห้ง,P&OP,Flat I2,"บ้านพัก1, I2"
sccc,extinguisher,thailand,th,SCCC-I4(ID-1-028),ผงเคมีแห้ง,P&OP,Flat I4,"บ้านพัก1, I4"
sccc,extinguisher,thailand,th,SCCC-B2(ID-1-042),ผงเคมีแห้ง,P&OP,บ้าน B2,"บ้านพัก1, B2"
sccc,extinguisher,thailand,th,SCCC-จอดรถ(ID-1-061),ผงเคมีแห้ง,P&OP,โรงจอดรถI4,"บ้านพัก1, จอดรถ"
sccc,extinguisher,thailand,th,SCCC-HR-J2-201,ผงเคมีแห้ง,P&OP,Flat J2 ชั้น 2,"บ้านพัก2, HR"
sccc,extinguisher,thailand,th,SCCC-HR-J4-201,ผงเคมีแห้ง,P&OP,Flat J4ชั้น2,"บ้านพัก2, HR"
sccc,extinguisher,thailand,th,SCCC-HR-J5-102,ผงเคมีแห้ง,P&OP,Flat J5ชั้น 1,"บ้านพัก2, HR"
sccc,extinguisher,thailand,th,SCCC-HR-J6-202,ผงเคมีแห้ง,P&OP,Flat J6ชั้น 2,"บ้านพัก2, HR"
sccc,extinguisher,thailand,th,SCCC-HR-J8-302,ผงเคมีแห้ง,P&OP,Flat J8ชั้น 3,"บ้านพัก2, HR"
sccc,extinguisher,thailand,th,SCCC-HR-J8-401,ผงเคมีแห้ง,P&OP,Flat J8ชั้น 4,"บ้านพัก2, HR"
sccc,extinguisher,thailand,th,SCCC-HR-G2-102,ผงเคมีแห้ง,P&OP,บ้าน G,"บ้านพัก2, HR"
sccc,extinguisher,thailand,th,SCCC-HR-GA-202,ผงเคมีแห้ง,P&OP,ป้อมยาม,"บ้านพัก2, HR"
sccc,socket,thailand,th,SCCC-SOCKET-Test,ผงเคมีแห้ง,P&OP,ป้อมยาม,"บ้านพัก2, HR"
