site,type,country,bu,id,kind,owner,place,holder,registerDate,status
cmic,extinguisher,cambodia,cmic,CMIC-SB-CC-03,CO₂,Electrical,Coal Crusher Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-CC-06,CO₂,Electrical,Coal Crusher Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-CC-09,CO₂,Electrical,Coal Crusher Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-Main-Sub-07,CO₂,Electrical,Main Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-Main-Sub-14,CO₂,Electrical,Main Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-Main-Sub-30,CO₂,Electrical,Main Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-Main-Sub-37,ABC Powder,Electrical,Main Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-ECO-07,ABC Powder,ECOCYCLE,Hazardous Waste Storage Area,ECOCYCLE,,Active
cmic,extinguisher,cambodia,cmic,CMIC-ECO-10,ABC Powder,ECOCYCLE,Hazardous Waste Storage Area,ECOCYCLE,,Active
cmic,extinguisher,cambodia,cmic,CMIC-ECO-12,ABC Powder,ECOCYCLE,Hazardous Waste Storage Area,ECOCYCLE,,Active
cmic,extinguisher,cambodia,cmic,CMIC-ECO-13,ABC Powder,ECOCYCLE,Shredding Building,ECOCYCLE,,Active
cmic,extinguisher,cambodia,cmic,CMIC-ECO-14,ABC Powder,ECOCYCLE,Shredding Building,ECOCYCLE,,Active
cmic,extinguisher,cambodia,cmic,CMIC-ECO-28,ABC Powder,ECOCYCLE,V8-WF1 Motor of Preheater C4,ECOCYCLE,,Active
cmic,extinguisher,cambodia,cmic,CMIC-LG-19,ABC Powder,Logistic,Logistic office,Logistic,,Active
cmic,extinguisher,cambodia,cmic,CMIC-WH-10,ABC Powder,Warehouse,Warehouse ,Warehouse,,Active
cmic,extinguisher,cambodia,cmic,CMIC-WH-13,CO₂,Warehouse,Warehouse ,Warehouse,,Active
cmic,extinguisher,cambodia,cmic,CMIC-WH-16,ABC Powder,Warehouse,Diesel Station,Warehouse,,Active
cmic,extinguisher,cambodia,cmic,CMIC-WH-17,ABC Powder,Warehouse,Diesel Station,Warehouse,,Active
cmic,extinguisher,cambodia,cmic,CMIC-WH-18,ABC Powder,Warehouse,Diesel Station,Warehouse,,Active
cmic,extinguisher,cambodia,cmic,CMIC-WH-19,ABC Powder,Warehouse,Diesel Station,Warehouse,,Active
cmic,extinguisher,cambodia,cmic,CMIC-WH-20,ABC Powder,Warehouse,Diesel Station,Warehouse,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-RM-02,CO₂,Electrical,Raw Mill Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-RM-05,CO₂,Electrical,Raw Mill Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-RM-18,CO₂,Electrical,Raw Mill Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-CM-02,CO₂,Electrical,Cement Mill Substion,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-CM-03,CO₂,Electrical,Cement Mill Substion,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-CM-18,CO₂,Electrical,Cement Mill Substion,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-R-Mat-09,CO₂,Electrical,Raw Material Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-KC-13,CO₂,Electrical,Kiln & Cooler Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-LS-10,CO₂,Electrical,Limestone Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-AD-12,CO₂,Electrical,Additive Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-WHR-02,CO₂,Electrical,WHR Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-WHR-07,CO₂,Electrical,WHR Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-WHR-10,CO₂,Electrical,WHR Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-WMS-07,CO₂,Electrical,WMS Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-CC-05,CO₂,Electrical,Coal Crusher Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-Main-Sub-09,CO₂,Electrical,Main Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-Main-Sub-28,CO₂,Electrical,Main Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-Main-Sub-29,CO₂,Electrical,Main Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-L91-2K2-02,CO₂,Electrical,Calciner Bin,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-L61-FN1-01,CO₂,Electrical,Coal Mill FAN,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-ECO-15,ABC Powder,ECOCYCLE,Shredding Building,ECOCYCLE,,Active
cmic,extinguisher,cambodia,cmic,CMIC-ECO-23,ABC Powder,ECOCYCLE,V6-WF01 near BC4 Ground,ECOCYCLE,,Active
cmic,extinguisher,cambodia,cmic,CMIC-ECO-29,ABC Powder,ECOCYCLE,V8-AF1 Motor of Preheater C3,ECOCYCLE,,Active
cmic,extinguisher,cambodia,cmic,CMIC-ECO-32,ABC Powder,ECOCYCLE,Ecocycle Lab,ECOCYCLE,,Active
cmic,extinguisher,cambodia,cmic,CMIC-WH-KS-04,ABC Powder,Ecocycle (Kour Srov),Warehouse Kour srov,Ecocycle (Kour Srov),,Active
cmic,extinguisher,cambodia,cmic,CMIC-PHN-04,BC Powder,Phnom Penh Office,Next to HR department,Phnom Penh Office,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SHV-05,ABC Powder,ECOCYCLE (SHV),SHV Warhdouse next to door,ECOCYCLE (SHV),,Active
cmic,extinguisher,cambodia,cmic,CMIC-WH-06,ABC Powder,Warehouse,Warehouse ,Warehouse,,Active
cmic,extinguisher,cambodia,cmic,CMIC-WH-09,ABC Powder,Warehouse,Warehouse ,Warehouse,,Active
cmic,extinguisher,cambodia,cmic,CMIC-WH-21,ABC Powder,Warehouse,Diesel Station,Warehouse,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-RM-12,CO₂,Electrical,Raw Mill Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-PK-07,CO₂,Electrical,Packing Plant Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-CM-19,CO₂,Electrical,Cement Mill Substion,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-R-Mat-01,CO₂,Electrical,Raw Material Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-R-Mat-10,CO₂,Electrical,Raw Material Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-R-Mat-12,CO₂,Electrical,Raw Material Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-KC-01,CO₂,Electrical,Kiln & Cooler Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-KC-03,CO₂,Electrical,Kiln & Cooler Substation,Electrical,,Active
cmic,extinguisher,cambodia,cmic,CMIC-SB-CO-01,CO₂,Electrical,Coal Mill Substation,Electrical,,Active
